state_abrev,NAME,males,females,Latitude,Longitude,Total
AK,Alaska,25,8,61.3025006,-158.7750198,33
AL,Alabama,228,42,32.6010112,-86.6807365,270
AR,Arkansas,110,23,34.7519275,-92.1313784,133
AZ,Arizona,208,40,34.1682185,-111.930907,248
CA,California,1281,160,37.2718745,-119.2704153,1441
CO,Colorado,106,39,38.9979339,-105.550567,145
CT,Connecticut,83,27,41.5187835,-72.757507,110
DC,Dist. of Columbia,96,8,38.8993487,-77.0145666,104
DE,Delaware,33,8,39.145251,-75.4189206,41
FL,Florida,633,136,27.9757279,-83.8330166,769
GA,Georgia,316,70,32.6781248,-83.2229757,386
HI,Hawaii,7,6,20.46,-157.505,13
IA,Iowa,47,9,41.9383166,-93.389798,56
ID,Idaho,23,5,45.4945756,-114.1424303,28
IL,Illinois,552,63,39.739318,-89.504139,615
IN,Indiana,296,43,39.7662195,-86.441277,339
KS,Kansas,90,21,38.4987789,-98.3200779,111
KY,Kentucky,139,39,37.8222935,-85.7682399,178
LA,Louisiana,369,51,30.9733766,-91.4299097,420
MA,Massachusetts,87,11,42.0629398,-71.718067,98
MD,Maryland,295,35,38.8063524,-77.2684162,330
ME,Maine,21,5,45.2185133,-69.0148656,26
MI,Michigan,409,77,44.9435598,-86.4158049,486
MN,Minnesota,91,14,46.4418595,-93.3655146,105
MO,Missouri,292,59,38.3046615,-92.437099,351
MS,Mississippi,110,29,32.5851062,-89.8772196,139
MT,Montana,31,1,46.6797995,-110.044783,32
NC,North Carolina,359,79,35.2145629,-79.8912675,438
ND,North Dakota,7,1,47.4678819,-100.3022655,8
NE,Nebraska,48,6,41.5008195,-99.680902,54
NH,New Hampshire,13,1,44.0012306,-71.5799231,14
NJ,New Jersey,252,25,40.1430058,-74.7311156,277
NM,New Mexico,69,19,34.1662325,-106.0260685,88
NV,Nevada,99,22,38.502032,-117.0230604,121
NY,New York,329,49,40.7056258,-73.97968,378
OH,Ohio,421,74,40.1903624,-82.6692525,495
OK,Oklahoma,148,35,35.3097654,-98.7165585,183
OR,Oregon,66,19,44.1419049,-120.5380993,85
PA,Pennsylvania,492,77,40.9945928,-77.6046984,569
RI,Rhode Island,19,6,41.5827282,-71.5064508,25
SC,South Carolina,176,59,33.62505,-80.9470381,235
SD,South Dakota,16,1,44.2126995,-100.2471641,17
TN,Tennessee,237,48,35.830521,-85.9785989,285
TX,Texas,806,176,31.1693363,-100.0768425,982
UT,Utah,41,13,39.4997605,-111.547028,54
VA,Virginia,234,46,38.0033855,-79.4587861,280
VT,Vermont,11,4,43.8717545,-72.4477828,15
WA,Washington,126,17,38.8993487,-77.0145665,143
WI,Wisconsin,138,28,44.7862968,-89.8267049,166
WV,West Virginia,56,9,38.9201705,-80.1816905,65
WY,Wyoming,10,6,43.000325,-107.5545669,16
